algorithm,epsilon,L1error,L1error_sd,time,time_sd
1,0.01,0.439510397022088,0.0369474033060008,0.08153867721557617,0.014168425113526149
1,0.02,0.28658891181710683,0.05518022088428873,0.055552403132120766,0.0010837957969406919
1,0.05,0.3212854705936677,0.1135265375496274,0.06144531567891439,0.0059516543137291605
1,0.1,0.1068803683196111,0.009581446700359594,0.05373700459798177,0.0002855200494294544
1,0.2,0.09170958759708236,0.005882105965014328,0.05377364158630371,0.0009156083238404575
1,0.5,0.07431534470755342,0.041586812846832834,0.053728342056274414,0.0007151607079426062
1,1.0,0.028922726441254498,0.0066546458047868715,0.0538639227549235,0.0008042611858954211
1,2.0,0.017089194520515143,0.0009623367597842793,0.05489905675252279,0.0010441945780264078
1,5.0,0.009948828933335757,0.0008141966529531163,0.05399171511332194,8.183127062276933e-05
1,10.0,0.005221114814985364,0.0004187998389544866,0.05321009953816732,6.0773930395941316e-05
2,0.01,1.598749954576845,0.13387576965278952,0.0561826229095459,0.001419806013120408
2,0.02,1.2146698644572915,0.020464287501037327,0.05443342526753744,0.0007642469609912017
2,0.05,0.7975398815363883,0.09160498655311766,0.04976296424865723,0.0006208764050574414
2,0.1,0.5944256695374057,0.14630622031168045,0.05079356829325358,0.0009259241514933255
2,0.2,0.33883862058940695,0.00735220150536381,0.049254655838012695,0.00026477496915097275
2,0.5,0.13583342417965852,0.007446251547694207,0.0497900644938151,0.00034370612518404547
2,1.0,0.07756459173661892,0.0013535797472429409,0.049374659856160484,0.000619205267677616
2,2.0,0.03459428031541878,0.0018904768671782729,0.04944165547688802,0.0004239169645417524
2,5.0,0.007903630219121334,0.0006646077676577073,0.049520651499430336,0.0005124441669143768
2,10.0,0.0020349576656128483,0.00018529087225526979,0.0489656925201416,0.0008103509754506025
