algorithm,epsilon,degree,count1,count2,count3,count4,count5,count6,count7,count8,count9,count10
1,2,3.000000,0.000000,0.000000,0.000000,0.656110,0.232681,0.234149,0.000000,0.000000,0.600999,0.000000
1,2,4.000000,0.000000,0.000000,0.000000,0.456575,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,2,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1,5,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000
1,5,1.000000,0.537732,1.000000,0.954461,0.941828,0.000000,1.000000,0.224622,1.000000,0.840350,0.000000
1,5,2.000000,0.537732,1.000000,0.395187,0.738636,0.000000,1.000000,0.000000,1.000000,0.840350,0.000000
1,5,3.000000,0.537732,0.907581,0.273140,0.021781,0.000000,1.000000,0.000000,1.000000,0.214714,0.000000
1,5,4.000000,0.360928,0.523871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214714,0.000000
1,5,5.000000,0.186829,0.523871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214714,0.000000
1,5,6.000000,0.000000,0.523871,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.214714,0.000000
1,10,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
1,10,1.000000,0.753674,0.149559,0.861133,1.000000,1.000000,0.755208,1.000000,1.000000,0.949912,0.830772
1,10,2.000000,0.611316,0.000000,0.861133,0.786608,1.000000,0.751379,0.911454,1.000000,0.760838,0.830772
1,10,3.000000,0.507341,0.000000,0.326982,0.162305,1.000000,0.192178,0.699860,0.000000,0.760838,0.526983
1,10,4.000000,0.092054,0.000000,0.000000,0.000000,0.163530,0.000000,0.004030,0.000000,0.000000,0.000000
1,10,5.000000,0.000000,0.000000,0.000000,0.000000,0.163530,0.000000,0.000000,0.000000,0.000000,0.000000
1,10,6.000000,0.000000,0.000000,0.000000,0.000000,0.163530,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.01,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,1.000000
2,0.01,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.01,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.01,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.01,4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.01,5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.01,6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
