algorithm,epsilon,L1error,L1error_sd,time,time_sd
1,0.01,1.9652862801584419,0.0490926134003477,0.044693708419799805,0.0009876172054489672
1,0.02,1.6666666666666634,0.47140452079103173,0.04496971766153971,0.0023287951781489733
1,0.05,1.3018605209458618,0.42689524266665013,0.04148165384928385,0.0001368068899709741
1,0.1,1.9999999999999971,2.220446049250313e-16,0.04259196917215983,0.0014085463129747666
1,0.2,1.9633657424078717,0.04953466970105423,0.04187734921773275,0.0011801535725899446
1,0.5,1.9998799663905855,0.00016975315836979365,0.04628507296244303,0.003828927233409748
1,1.0,1.2977793782259004,0.42112363528210034,0.04649686813354492,0.0032649238526488767
1,2.0,1.6666666666666634,0.47140452079103173,0.04293203353881836,0.0007905173703570809
1,5.0,1.3333333333333302,0.4714045207910316,0.047150611877441406,0.002679596928864554
1,10.0,1.6666666666666634,0.4714045207910317,0.045407374699910484,0.0014706441371122806
2,0.01,1.9315328291921714,0.09017886458533059,0.04453770319620768,0.0017569789904453063
2,0.02,1.8474132757171986,0.10657626886930191,0.04520368576049805,0.002834528402868907
2,0.05,1.9814548073460545,0.006654042323663948,0.046705007553100586,0.0009728814365185636
2,0.1,1.9982475093026022,0.0018755995664023546,0.051777919133504234,0.0019436072313110224
2,0.2,1.9993878285920033,0.0005858328816184928,0.05269169807434082,0.0005269110292352588
2,0.5,1.9969631496819087,0.00424393080990087,0.05228861172993978,0.0007602235348969034
2,1.0,1.9998079462249407,0.00017964985652490343,0.05149634679158529,0.0028082589866123783
2,2.0,1.9821510022806361,0.011828506779447969,0.052484989166259766,0.002180635298331802
2,5.0,1.9715280278477947,0.021184405232853847,0.04890004793802897,0.0011242880722212233
2,10.0,1.8854399231784873,0.06933713992447284,0.0430449644724528,0.00021517787130660403
3,0.01,1.3332373064458014,0.4712687182643359,1.6917181015014648,0.1051352615735764
3,0.02,1.64789341015484,0.4587034854380036,1.5846409797668457,0.05766755978763694
3,0.05,1.1866762693554167,0.26400011189564776,1.5789457162221272,0.10032600146032225
3,0.1,1.826791501620451,0.12294170658654714,1.5867557525634766,0.06613408334712151
3,0.2,1.3728624764456938,0.2985200549237539,1.6311167081197102,0.08914431399714627
3,0.5,1.2310130730558135,0.18918004912973657,1.5387814044952393,0.04688325020060212
3,1.0,1.2887938249022237,0.4496305655952902,1.5065216223398845,0.02687289003019204
3,2.0,1.1211462934546974,0.6247188867861483,1.5474336942036946,0.1303415940470462
3,5.0,0.7606175767989317,0.2611877160658964,1.5513865947723389,0.022931093867027644
3,10.0,0.4683490242328851,0.12492305599354084,1.6519710222880046,0.10929605808462617
4,0.01,0.29448554575128744,0.07621978364855848,6.5634206136067705,0.2582236884531316
4,0.02,0.42076480230335783,0.24220909834170262,6.299187978108724,0.0924488683122757
4,0.05,0.740647320427214,0.0072303075465127735,6.626494963963826,0.22320867422556104
4,0.1,0.4286239452988907,0.23747775020363915,6.708003600438436,0.3236162067927797
4,0.2,0.2479213612917809,0.08426456823453647,6.40180230140686,0.13334927420869197
4,0.5,0.2677142321647078,0.0995912089892896,6.252445697784424,0.0685642632846811
4,1.0,0.6131798041759057,0.1768467294394514,6.121040344238281,0.04510796041981472
4,2.0,0.28266944427941665,0.05384051157917672,6.606183926264445,0.298674497444039
4,5.0,0.49625163318290516,0.1675859269512407,6.869330644607544,0.2034961265380685
4,10.0,0.44477195535741054,0.2104956917525178,6.51270325978597,0.2960325734927118
5,0.01,2.653588424736587,2.014870112589467,6.737731059392293,0.10375668631028657
5,0.02,1.2031938309295602,0.5721614827350671,6.5931166013081866,0.29645979057813904
5,0.05,1.059781056673508,0.46485691226096554,6.843128601710002,0.15823733494511572
5,0.1,0.5838797532650383,0.05068267055812727,6.446366628011067,0.19873838252682477
5,0.2,0.5290260579986195,0.014921744389151823,6.240664641062419,0.13555441396062257
5,0.5,0.4044534622004486,0.07587437042810184,6.3235182762146,0.04389481992222424
5,1.0,0.2885702090755205,0.02429072421527175,6.304271221160889,0.21897372243585914
5,2.0,0.2700940193567482,0.01998947600954102,6.3317975997924805,0.21874792426052808
5,5.0,0.27805175981370117,0.15165011276195245,6.19795560836792,0.0303808766812806
5,10.0,0.12206924147795666,0.015298182591289993,6.412453969319661,0.10930293582307739
6,0.01,1.5768983811341315,0.12940694915068,7.16335407892863,0.14970270858126103
6,0.02,1.4896951722065845,0.16904817125832078,7.120035330454509,0.12959781211878954
6,0.05,1.5156631065548878,0.12555145361840991,7.37319000562032,0.09530031491324058
6,0.1,1.2814093930335906,0.1686482301678863,7.273482322692871,0.08600162454913186
6,0.2,1.0205730880355686,0.18620648599925846,7.246380885442098,0.05777439677715342
6,0.5,0.4442695829510239,0.052655131385310694,7.368212381998698,0.15910010123316665
6,1.0,0.47172584988754074,0.049051514462829744,7.404912948608398,0.126674159173575
6,2.0,0.2806211612129499,0.040959857007211026,7.584734042485555,0.10915678969484797
6,5.0,0.2003795073445922,0.01030345871930614,7.441754659016927,0.06964817574659855
6,10.0,0.27067433101189514,0.16117521989604203,7.371481974919637,0.13329725260206154
