algorithm,epsilon,L1error,L1error_sd,time,time_sd
1,0.01,1.3327700861223148,0.47060796894624707,0.0532076358795166,0.0016092947144583508
1,0.02,1.6666666666666659,0.47140452079103423,0.05243698755900065,0.0005776556738104941
1,0.05,1.9999818307351278,2.5695220794218026e-05,0.05223528544108073,0.0007973747783183787
1,0.1,1.6663032813692353,0.4711477787860406,0.051731109619140625,0.0006975951076280439
1,0.2,1.9999999999999953,0.0,0.05210590362548828,0.0009649975618399985
1,0.5,1.544059412151574,0.4129759439300939,0.052236318588256836,0.0004113501092295932
1,1.0,1.3333333333333286,0.4714045207910317,0.05239105224609375,0.0006545154967528254
1,2.0,1.3333333333333286,0.4714045207910317,0.051763057708740234,0.0006721563121052794
1,5.0,1.6666666666666619,0.4714045207910316,0.051819403966267906,0.0007400724005440678
1,10.0,1.3333333333333293,0.4714045207910323,0.05208428700764974,0.0007457551323190851
2,0.01,1.8838166357789226,0.07974153474663287,0.051762898763020836,0.0033404024429178757
2,0.02,1.8794469275773176,0.17037216732527521,0.048573970794677734,0.0020907537982652238
2,0.05,1.988253570260553,0.012954692224117761,0.0499110221862793,0.0005414360824062333
2,0.1,1.995721138122759,0.0031057487166272248,0.04887700080871582,0.0003700054075506695
2,0.2,1.9991551291834808,0.00042977129156278755,0.049279371897379555,0.0005587854148132042
2,0.5,1.999727461026934,0.00019271415599777164,0.04872671763102213,0.0009728449248881955
2,1.0,1.956175733129845,0.06170726935628705,0.049411614735921226,0.0006443885783722152
2,2.0,1.9889712562229807,0.015174349572882715,0.04933333396911621,0.0008353546713542737
2,5.0,1.9951124677495624,0.0049826869376104095,0.04945643742879232,0.0001714727828637465
2,10.0,1.920146080889575,0.09540738941438806,0.049820343653361,0.0005305440141797091
3,0.01,1.6664486354882115,0.4712504251228266,0.9439723491668701,0.05846340820489535
3,0.02,1.6663396198989826,0.47117327221150374,1.0777699152628581,0.14060066685080752
3,0.05,1.9553762854754968,0.05395486721987029,0.9947810967763265,0.05125871778211658
3,0.1,1.57085869733811,0.4155267537274385,0.9362120628356934,0.0528342000991611
3,0.2,1.3147851107800765,0.4451733728983081,0.9051773548126221,0.05039559930698323
3,0.5,1.257321410548733,0.3639074286869998,0.9496713479359945,0.026950748071189416
3,1.0,0.7717310728313173,0.045214696929737244,1.016079028447469,0.07028043634208626
3,2.0,0.5961774515763466,0.06667436348942117,0.9802062511444092,0.032588950043964615
3,5.0,0.8985041219635607,0.2804578309290916,0.9132450421651205,0.04974368550047321
3,10.0,0.6726436739901814,0.2317781912812662,0.9702836672465006,0.0649254553862515
4,0.01,0.5058849732632968,0.07850077429242289,3.2441489696502686,0.03960827937698262
4,0.02,0.5826203828647348,0.06562479755550288,3.2405970096588135,0.021974619494622503
4,0.05,0.4589133876822595,0.11137950443148911,3.1845916906992593,0.035881967384718313
4,0.1,0.5708373545213633,0.100529643730737,3.162423928578695,0.02709468614707842
4,0.2,0.5835474225261995,0.06722376275209838,3.1528899669647217,0.014779725281360174
4,0.5,0.5478664284353245,0.06766850093443023,3.1565250555674234,0.018812449925044397
4,1.0,0.536482773667792,0.10026646264114286,3.2114859422047934,0.02018553200133645
4,2.0,0.5585256874445053,0.05756990308230569,3.2921857039133706,0.04080193409182696
4,5.0,0.5151311983579433,0.07981576362751333,3.255879004796346,0.038744826125691224
4,10.0,0.6167444992128731,0.05984279037039557,3.240877628326416,0.048915713826556725
5,0.01,1.3968074402086217,0.7799880036511807,3.0665123462677,0.12127812793852909
5,0.02,1.2369215291956361,0.397226645194376,2.994054635365804,0.011781473795417047
5,0.05,0.798835696568902,0.20715335199267224,3.096143960952759,0.06022807607827964
5,0.1,0.5475068418685753,0.11232411241202149,3.1017940044403076,0.07992925206440345
5,0.2,0.3173575955663535,0.07958637784171818,3.060089667638143,0.024962441896432836
5,0.5,0.27779535050705234,0.038730514843889424,3.1069637139638266,0.09128020757794424
5,1.0,0.25698350192210767,0.058461448397357486,3.0380096435546875,0.03747634755747486
5,2.0,0.2597584552330721,0.057261641204005426,3.137101968129476,0.006565234479542282
5,5.0,0.1782331122258356,0.028269674745454478,3.1158405939737954,0.06037205434744571
5,10.0,0.1468787054136525,0.003309450095677269,3.0541746616363525,0.0727415338982661
6,0.01,1.175772089903024,0.12248525782070294,3.188055674235026,0.1951210754954204
6,0.02,1.2814303802275464,0.20976086297952648,3.302642345428467,0.09148405649320229
6,0.05,0.9040912948064258,0.15403880426646183,3.266235669453939,0.058814642565804286
6,0.1,0.851957140822169,0.12662594734128702,3.3314510186513266,0.004721223183237719
6,0.2,0.6602553507369754,0.04244366471753585,3.364123264948527,0.11239665356894227
6,0.5,0.5072297576870463,0.014551468106056144,3.4287856419881186,0.11625132045795479
6,1.0,0.4361350654723693,0.03313161878043543,3.3898183504740396,0.11271608703557842
6,2.0,0.45307789811002924,0.09659149308189843,3.4438666502634683,0.037598724702873426
6,5.0,0.3540051698394528,0.03689467393761197,3.444495916366577,0.03425310532800406
6,10.0,0.4042122301718036,0.12966448146459217,3.43384059270223,0.043517665402038955
